,OPEID6L,INSTNM,CITY,STABBR,ZIP,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG_ALL,HIGHDEG,HBCU,PBI,HSI,NANTI,CCUGPROF,CCSIZSET,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,COSTT4_A,AVGFACSAL,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,FEMALE,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,GT_THRESHOLD_P10,CONTROL,Number of Unique Majors Offered (Bachelors,Co-Ed
1291,2017.0,McNeese State University,Lake Charles,LA,70605,0.0,0.0,0.633,1136.0,4,0.0,0.0,0.0,0.0,12.0,12.0,0.6769,0.1682,0.0388,0.0142,19489.0,6909.0,0.435,0.4442,0.3318,0.475,0.7222,0.6371179039,45000,35600,57400,0.69,"Private, nonprofit",1.0,True
1292,2015.0,University of New Orleans,New Orleans,LA,70148,0.0,0.0,0.8291,1088.0,4,0.0,0.0,0.0,0.0,13.0,13.0,0.46,0.2307,0.1303,0.0814,20864.0,8204.0,0.4149,0.4,0.3239,0.3295,0.5476,0.5788849348,43500,39100,49200,0.7138,"Private, nonprofit",1.0,True
1293,2019.0,New Orleans Baptist Theological Seminary,New Orleans,LA,70126,0.0,0.0,,,4,0.0,0.0,0.0,0.0,-2.0,-2.0,0.4148,0.118,0.0477,0.0369,,6405.0,0.0909,0.0769,0.3333,0.0,,,,,,,"Private, for-profit",9.0,True
1294,2005.0,Nicholls State University,Thibodaux,LA,70310,0.0,0.0,0.9329,1104.0,4,0.0,0.0,0.0,0.0,12.0,13.0,0.6704,0.196,0.0461,0.0134,21275.0,6437.0,0.4548,0.5194,0.3004,0.4286,0.5,0.6346546792,43800,34300,57000,0.6868,Public,10.0,True
1295,2020.0,University of Louisiana at Monroe,Monroe,LA,71209-0000,0.0,0.0,0.7798,1118.0,4,0.0,0.0,0.0,0.0,13.0,13.0,0.6082,0.2451,0.0307,0.0171,20851.0,7378.0,0.568,0.5802,0.4926,0.6,0.7222,0.6975505857,46300,39900,57200,0.6874,"Private, nonprofit",2.0,True
1296,9975.0,Northwest Louisiana Technical Community College,Minden,LA,71055-0000,0.0,0.0,,,2,0.0,1.0,0.0,0.0,2.0,2.0,0.4709,0.414,0.0372,0.0035,15581.0,4393.0,,,,,,0.4923694779,,,,0.4817,,,True
1297,2021.0,Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,0.0,0.0,0.9485,1050.0,4,0.0,0.0,0.0,0.0,9.0,12.0,0.5206,0.3133,0.0682,0.0079,22940.0,6485.0,0.4749,0.5076,0.4213,0.4457,0.4,0.7343553657,39600,35200,47300,0.6654,"Private, nonprofit",6.0,True
1298,2023.0,University of Holy Cross,New Orleans,LA,70131-7399,0.0,0.0,0.5273,,4,0.0,0.0,0.0,0.0,9.0,6.0,0.4444,0.3005,0.133,0.0401,23715.0,7675.0,0.375,0.5667,0.3333,0.3,0.0,0.8932806324,40700,39400,46900,0.7421,"Private, nonprofit",12.0,True
1299,31062.0,Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,0.0,0.0,0.4665,1120.0,4,0.0,0.0,0.0,0.0,5.0,6.0,0.678,0.1928,0.0689,0.0339,26751.0,7499.0,0.382,0.4219,0.25,0.1111,0.0,0.8931082982,49400,45900,65500,0.7767,,,True
1300,12879.0,Pat Goins Benton Road Beauty School,Bossier City,LA,71111,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.2762,0.6952,0.0,0.0,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,True
